user_id,item_id,rating
1,1738,1
1,889,0
1,2315,0
2,1872,1
2,1898,0
2,2121,1
3,2144,1
3,316,0
3,1927,0
4,2323,1
4,1250,0
4,1665,1
5,1686,1
5,2347,1
5,1717,1
6,1308,1
6,698,1
6,546,1
7,2789,1
7,2877,0
7,1751,0
8,2313,1
8,2560,0
8,1078,1
9,2668,1
9,2780,0
9,1247,1
10,2372,1
10,380,0
10,155,0
11,1255,1
11,1802,0
11,1681,1
12,2989,1
12,2876,0
12,1838,1
13,2787,1
13,1280,0
13,2684,0
14,1091,1
14,857,0
14,2137,1
15,2848,1
15,1726,0
15,346,0
16,1395,1
16,2259,0
16,205,1
17,3041,1
17,2811,0
17,257,1
18,1202,1
18,954,0
18,1594,1
19,2832,1
19,1535,1
19,1891,1
20,6,1
20,2546,0
20,567,1
21,137,1
21,887,0
21,739,1
22,1273,1
22,2674,0
22,2369,1
23,39,1
23,534,0
23,1638,1
24,2559,1
24,216,0
24,1683,1
25,1201,1
25,1496,0
25,629,1
26,2367,1
26,177,0
26,128,0
27,2366,1
27,2521,0
27,1194,1
28,1546,1
28,996,0
28,94,0
29,559,1
29,845,0
29,2288,1
30,2111,1
30,248,0
30,550,0
31,32,1
31,2604,0
31,2963,1
32,2594,1
32,319,0
32,2368,1
33,767,1
33,1840,0
33,865,1
34,1812,1
34,1975,0
34,598,1
35,2442,1
35,1757,0
35,2695,1
36,2356,1
36,1871,0
36,2273,1
37,674,1
37,1892,0
37,1818,1
38,1308,1
38,2195,0
38,1621,1
39,2195,1
39,1080,0
39,155,1
40,1621,1
40,155,0
40,3057,0
41,2442,1
41,2195,0
41,2369,0
42,2273,1
42,113,0
42,1738,1
43,1165,1
43,1818,0
43,1407,1
44,667,1
44,390,1
44,248,1
45,1818,1
45,1165,0
45,1407,1
46,1417,1
46,248,0
46,667,1
47,113,1
47,2193,0
47,248,1
48,1848,1
48,2,0
48,1738,1
49,1738,1
49,1165,0
49,2193,1
50,2894,1
50,1165,0
50,113,0
51,471,1
51,248,0
51,1738,1
52,1821,1
52,2046,0
52,484,1
53,948,1
53,2046,0
53,2353,1
54,2206,1
54,1821,0
54,216,1
55,380,1
55,3059,0
55,1805,1
56,645,1
56,1761,0
56,2618,1
57,1365,1
57,2016,0
57,1600,1
58,2341,1
58,2016,0
58,1365,1
59,2963,1
59,319,0
59,645,1
60,99,1
60,3037,0
60,1089,0
61,2914,1
61,2408,0
61,2409,1
62,1388,1
62,2045,0
62,2408,0
63,1089,1
63,2045,0
63,584,1
64,1910,1
64,2024,0
64,2352,1
65,205,1
65,2792,0
65,2410,1
66,480,1
66,2792,0
66,227,0
67,2358,1
67,250,0
67,2792,0
68,2581,1
68,2024,0
68,750,1
69,2405,1
69,2410,0
69,2787,0
70,2787,1
70,2677,0
70,1801,0
71,1045,1
71,1833,0
71,1910,0
72,1730,1
72,2003,0
72,1745,0
73,1428,1
73,3042,0
73,148,0
74,2368,1
74,3042,0
74,148,0
75,400,1
75,148,0
75,1747,1
76,2368,1
76,889,0
76,381,0
77,732,1
77,889,0
77,2306,0
78,2161,1
78,438,0
78,1007,1
79,2259,1
79,1427,1
79,732,1
80,2114,1
80,128,0
80,321,0
81,80,1
81,2839,0
81,2933,1
82,62,1
82,3032,0
82,128,1
83,2114,1
83,2985,0
83,2660,1
84,2302,1
84,739,0
84,2695,1
85,2789,1
85,158,0
85,1979,1
86,1980,1
86,80,0
86,2135,0
87,321,1
87,1979,0
87,954,1
88,738,1
88,1146,0
88,2559,0
89,174,1
89,278,0
89,1521,1
90,278,1
90,738,0
90,3009,0
91,1146,1
91,347,0
91,60,1
92,474,1
92,1395,0
92,2755,0
93,524,1
93,1038,0
93,1311,0
94,2755,1
94,749,0
94,993,0
95,749,1
95,996,0
95,2755,0
96,1038,1
96,993,1
96,1312,1
97,1838,1
97,1013,0
97,2396,1
98,612,1
98,55,0
98,407,1
99,2416,1
99,1612,0
99,3054,1
100,426,1
100,2087,0
100,215,1
101,2159,1
101,675,0
101,379,0
102,675,1
102,94,0
102,2159,1
103,2095,1
103,2482,0
103,215,1
104,769,1
104,231,0
104,2095,1
105,2143,1
105,766,0
105,675,1
106,2287,1
106,2482,0
106,692,1
107,2951,1
107,2287,1
107,93,1
108,2951,1
108,95,0
108,769,1
109,556,1
109,93,0
109,95,0
110,644,1
110,1869,0
110,2955,0
111,2315,1
111,2811,0
111,991,1
112,1891,1
112,1869,0
112,644,1
113,2370,1
113,2811,0
113,2955,1
114,14,1
114,2291,0
114,402,1
115,2127,1
115,2291,0
115,208,1
116,1691,1
116,2258,0
116,2285,1
117,2127,1
117,208,0
117,2727,1
118,1374,1
118,364,0
118,1078,1
119,1112,1
119,235,0
119,364,0
120,2344,1
120,235,0
120,2552,1
121,235,1
121,857,0
121,1078,0
122,2299,1
122,756,0
122,2736,1
123,1342,1
123,1247,0
123,1970,0
124,2937,1
124,550,0
124,2736,1
125,546,1
125,429,0
125,681,0
126,681,1
126,1601,1
126,1087,1
127,2632,1
127,1970,0
127,1487,1
128,724,1
128,1359,1
128,1435,1
129,724,1
129,1247,0
129,1712,1
130,1352,1
130,2167,1
130,2067,1
131,98,1
131,887,0
131,1839,1
132,1712,1
132,342,0
132,1627,0
133,1712,1
133,342,0
133,3018,1
134,3018,1
134,342,0
134,2877,1
135,865,1
135,1627,0
135,1435,1
136,835,1
136,336,0
136,1424,1
137,1197,1
137,2167,0
137,38,1
138,557,1
138,634,0
138,887,0
139,2288,1
139,634,0
139,1839,1
140,845,1
140,38,0
140,1507,1
141,1816,1
141,1892,0
141,2882,0
142,2211,1
142,1816,0
