id,id_photo,id_survey,like_bool,anger,fear,disgust,sadness,happiness,surprise,neutral,valence,arousal,dominance
2446,1754,164,1,0,0,0,0,0,0,5,2,1,2
2447,1785,164,1,0,1,0,2,0,0,0,2,2,3
2448,123,164,0,0,0,0,4,0,0,0,1,3,1
2449,2315,164,0,0,0,0,2,0,0,0,2,1,3
2450,1548,164,0,0,0,0,0,0,0,5,3,1,3
2451,1055,164,1,0,0,0,0,3,0,0,4,3,4
2452,1738,164,1,0,0,0,0,3,0,0,4,4,4
2453,2922,164,1,0,0,0,0,0,0,3,3,2,4
2454,318,164,0,0,0,0,2,0,0,0,2,2,2
2455,948,164,0,0,0,0,0,0,0,3,3,2,2
2456,986,164,0,3,0,0,0,0,0,0,2,4,4
2457,1142,164,1,0,0,0,0,1,0,0,3,1,3
2458,889,164,0,0,0,0,2,0,0,0,2,3,2
2459,1059,164,1,0,0,0,0,4,0,0,5,3,3
2460,1507,164,1,0,0,0,0,3,0,0,4,2,3
